DB/TABLE|Send to Lake|PII (Y/N)|CDC Column|LookUp Ref|HardDeleteFlag|PartitionBy|NumPartitions|Rows|Note
PolicyCenterAgg.dbo.pctl_bp7feettohydrant|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7fireprotectionclass|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7irpmtype_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7linecond|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7linecov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7lineexcl|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7linemod|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7lineschedconditem|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7lineschedcovitem|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7locationcond|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7locationcov|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7locationexcl|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7locationschedconditem|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7openingprotection_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7pctowneroccupied|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7playground|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7premtype_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7propertytype|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7protectivedeviceorserv|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7ratinggroup|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7rdeckattachment_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7roofcattachment_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7roofcovering|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7roofdeckattachment_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7roofshape_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7roofwallattachment_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7servicetype_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7storedfactors_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7surchargetype_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7swresistance_ext|Y||Truncate and Load|TypeList|||||
PolicyCenterAgg.dbo.pctl_bp7windhailhabitctyref|Y||Truncate and Load|TypeList|||||
